"V1","V2"
"Bcry","BC"
"GRMZM2G037335","GRMZM2G314546"
"GRMZM2G314546","GRMZM2G375675"
"GRMZM2G314546","AC203754.4_FG008"
"GRMZM2G375675","GRMZM5G871419"
"GRMZM2G314546","GRMZM5G871419"
"GRMZM2G131907","GRMZM2G301208"
"GRMZM2G314546","GRMZM2G032222"
"GRMZM2G037335","GRMZM5G871419"
"GRMZM2G377904","GRMZM2G101938"
"Bcry","ZEA"
"GRMZM2G377904","GRMZM2G340807"
"GRMZM2G314546","GRMZM2G072850"
"LUT","AC"
"GRMZM2G131907","GRMZM2G089491"
"GRMZM5G871419","GRMZM2G108457"
"GRMZM2G072850","GRMZM2G174949"
"GRMZM2G109547","GRMZM2G028129"
"GRMZM2G375675","GRMZM2G104955"
"GRMZM2G104955","GRMZM2G149230"
"GRMZM2G037335","GRMZM2G375675"
"GRMZM2G472945","GRMZM2G057690"
"GRMZM2G149230","GRMZM2G167492"
"GRMZM2G375675","GRMZM2G108457"
"GRMZM2G131907","GRMZM2G101938"
"GRMZM2G072850","GRMZM2G052111"
"GRMZM2G314546","GRMZM2G128214"
"GRMZM2G037335","GRMZM2G128214"
"GRMZM2G340807","GRMZM2G028129"
"GRMZM5G871419","GRMZM2G149230"
"GRMZM2G137375","GRMZM2G068575"
"GRMZM2G108457","GRMZM2G128214"
"AC203754.4_FG008","GRMZM2G072850"
"GRMZM2G131907","GRMZM2G152373"
"GRMZM2G301208","GRMZM2G151706"
"GRMZM2G314546","GRMZM2G089491"
"GRMZM2G037335","GRMZM2G108457"
"GRMZM2G057690","GRMZM2G028252"
"GRMZM2G101938","GRMZM2G072850"
"GRMZM2G101938","GRMZM5G856837"
"GRMZM2G340807","GRMZM2G109547"
"GRMZM2G340807","GRMZM2G327199"
"GRMZM2G377904","GRMZM2G154460"
"GRMZM2G128214","GRMZM2G419267"
"GRMZM2G314546","GRMZM2G174949"
"GRMZM2G314546","GRMZM2G068575"
"GRMZM2G101938","GRMZM2G089491"
"GRMZM2G101938","GRMZM5G854880"
"GRMZM2G149230","GRMZM2G067350"
"GRMZM2G301208","GRMZM2G089491"
"GRMZM2G167492","GRMZM2G042488"
"GRMZM2G101938","GRMZM2G154460"
"GRMZM2G137375","GRMZM2G116881"
"GRMZM2G028129","GRMZM2G154078"
"GRMZM2G137375","GRMZM2G108919"
"GRMZM2G102779","GRMZM2G017678"
"GRMZM2G131907","GRMZM2G429899"
"GRMZM2G375675","GRMZM2G089565"
"GRMZM2G301208","GRMZM2G035592"
"AC203754.4_FG008","GRMZM2G174949"
"GRMZM2G057690","GRMZM2G010353"
"GRMZM2G377904","GRMZM2G154078"
"GRMZM2G154460","GRMZM2G088834"
"GRMZM2G101938","GRMZM2G167492"
"GRMZM2G419267","GRMZM2G088834"
"GRMZM2G377904","GRMZM2G120069"
"GRMZM2G375675","GRMZM2G149230"
"GRMZM5G871419","GRMZM2G174236"
"GRMZM2G377904","GRMZM5G854880"
"GRMZM2G301208","GRMZM2G137375"
"GRMZM2G149230","GRMZM2G320298"
"GRMZM2G109547","GRMZM5G854880"
"GRMZM5G871419","GRMZM2G419267"
"GRMZM2G104955","GRMZM2G429899"
"GRMZM2G101938","GRMZM2G174236"
"LUT","GRMZM2G300348"
"GRMZM2G108457","GRMZM2G012966"
"GRMZM2G131907","GRMZM5G856837"
"GRMZM2G131907","GRMZM2G377904"
"GRMZM2G072850","GRMZM2G472945"
"GRMZM2G301208","GRMZM2G152373"
"GRMZM2G131907","GRMZM2G120069"
"GRMZM2G149230","GRMZM2G147145"
"GRMZM2G012966","GRMZM2G012498"
"GRMZM5G854880","GRMZM2G120069"
"GRMZM2G152373","GRMZM2G154460"
"GRMZM2G320298","GRMZM2G012966"
"GRMZM2G012966","GRMZM2G394237"
"GRMZM2G101938","GRMZM2G327199"
"GRMZM2G340807","GRMZM2G154078"
"GRMZM2G028129","GRMZM2G021433"
"GRMZM2G101938","GRMZM2G120069"
"GRMZM2G149230","GRMZM2G331833"
"GRMZM2G032222","GRMZM2G067350"
"GRMZM2G128214","GRMZM2G477340"
"GRMZM2G375675","GRMZM2G010353"
"GRMZM2G101938","GRMZM2G149230"
"Bcry","GRMZM5G854880"
"GRMZM2G472945","GRMZM2G028252"
"GRMZM2G152135","GRMZM2G036409"
"GRMZM2G089491","GRMZM2G035592"
"GRMZM2G012966","GRMZM2G020594"
"GRMZM2G301208","GRMZM2G174236"
"LUT","GRMZM2G012966"
"GRMZM2G089565","GRMZM2G149442"
"GRMZM2G375675","GRMZM2G128214"
"GRMZM2G017678","GRMZM2G177169"
"GRMZM2G028129","GRMZM5G854880"
"GRMZM2G057690","GRMZM2G036409"
"GRMZM2G154460","GRMZM2G152135"
"GRMZM2G375675","GRMZM2G419267"
"GRMZM2G131907","GRMZM2G154460"
"GRMZM2G126812","GRMZM2G170727"
"GRMZM2G419267","GRMZM2G082180"
"GRMZM2G340807","GRMZM2G151107"
"GRMZM2G377904","GRMZM2G021433"
"GRMZM2G375675","GRMZM2G135314"
"GRMZM2G314546","GRMZM2G459432"
"GRMZM2G017678","GRMZM2G088834"
"GRMZM2G320298","GRMZM2G170351"
"GRMZM2G032222","GRMZM2G300348"
