"from","to","value"
"Bcry","BC","0.209025017061313"
"GRMZM2G037335","GRMZM2G314546","0.201136333635798"
"GRMZM2G375675","GRMZM2G314546","0.176353630850336"
"GRMZM2G314546","AC203754.4_FG008","0.161956046552666"
"GRMZM2G375675","GRMZM5G871419","0.161466903065587"
"GRMZM5G871419","GRMZM2G314546","0.156491753495262"
"GRMZM2G131907","GRMZM2G301208","0.137000337926505"
"GRMZM2G032222","GRMZM2G314546","0.13581609782223"
"GRMZM2G037335","GRMZM5G871419","0.131507809588437"
"GRMZM2G377904","GRMZM2G101938","0.131086670900142"
"ZEA","Bcry","0.126254866202193"
"GRMZM2G375675","AC203754.4_FG008","0.115948728877682"
"GRMZM2G377904","GRMZM2G340807","0.113075262743288"
"GRMZM2G314546","GRMZM2G072850","0.109302222867016"
"LUT","AC","0.108985874500415"
"GRMZM2G131907","GRMZM2G089491","0.106056686189931"
"GRMZM2G108457","GRMZM5G871419","0.10436133127381"
"GRMZM2G174949","GRMZM2G072850","0.103039477861349"
"GRMZM2G037335","AC203754.4_FG008","0.102462879815674"
"GRMZM2G109547","GRMZM2G028129","0.101090041851077"
"GRMZM2G104955","GRMZM2G375675","0.0984819274871336"
"GRMZM2G104955","GRMZM2G149230","0.0948859863271122"
"GRMZM2G037335","GRMZM2G375675","0.0943497919363968"
"GRMZM2G472945","GRMZM2G057690","0.0884134952777394"
"GRMZM2G149230","GRMZM2G167492","0.0882115430151931"
"GRMZM2G104955","GRMZM2G314546","0.0871428570307955"
"GRMZM2G108457","GRMZM2G375675","0.0857202223995457"
"GRMZM2G375675","GRMZM2G072850","0.0846711605557789"
"GRMZM2G037335","GRMZM2G072850","0.0845772180481084"
"GRMZM2G131907","GRMZM2G101938","0.0839050015109804"
"GRMZM2G052111","GRMZM2G072850","0.0827501834514711"
"GRMZM2G104955","GRMZM5G871419","0.0819813230220662"
"GRMZM2G128214","GRMZM2G314546","0.0806704764055726"
"GRMZM2G037335","GRMZM2G128214","0.0790899640256503"
"GRMZM2G340807","GRMZM2G028129","0.0784564666410996"
"GRMZM2G108457","AC203754.4_FG008","0.0780918684189937"
"GRMZM2G149230","GRMZM5G871419","0.077975293349773"
"GRMZM5G871419","AC203754.4_FG008","0.0770283403831394"
"GRMZM2G137375","GRMZM2G068575","0.0720177381560236"
"GRMZM2G108457","GRMZM2G128214","0.0716328882794013"
