"V1","V2"
"GRMZM2G314546","26"
"GRMZM2G020594","71"
"GRMZM2G174860","65"
"GRMZM2G116881","30"
"GRMZM2G109959","33"
"GRMZM2G419267","66"
"GRMZM2G042506","9"
"GRMZM2G128214","73"
"AC206840.3_FG002","18"
"GRMZM2G375675","42"
"GRMZM2G137375","48"
"GRMZM2G320298","31"
"GRMZM2G152447","95"
"GRMZM2G126812","23"
"GRMZM2G429899","82"
"GRMZM2G109547","69"
"GRMZM2G331833","57"
"GRMZM2G149442","98"
"GRMZM2G177169","38"
"GRMZM2G477340","25"
"GRMZM2G142776","36"
"GRMZM2G513713","24"
"GRMZM2G569903","84"
"GRMZM2G102779","83"
"GRMZM5G856837","53"
"GRMZM2G152373","54"
"GRMZM2G340807","76"
"GRMZM2G071270","70"
"GRMZM2G100727","81"
"GRMZM2G170351","43"
"GRMZM2G459432","64"
"GRMZM2G149230","86"
"GRMZM2G701389","78"
"GRMZM2G104955","100"
"GRMZM5G871419","40"
"GRMZM2G120069","2"
"AC203754.4_FG008","19"
"GRMZM2G021433","14"
"GRMZM2G081464","3"
"GRMZM2G377904","80"
"GRMZM2G068575","5"
"GRMZM2G460861","79"
"GRMZM2G157481","28"
"GRMZM2G154460","67"
"GRMZM2G057690","6"
"GRMZM2G042488","10"
"GRMZM2G170742","93"
"GRMZM5G864903","41"
"GRMZM2G067350","89"
"GRMZM2G135314","1"
"GRMZM2G101938","50"
"GRMZM2G327199","51"
"GRMZM2G154078","35"
"GRMZM2G032222","91"
"GRMZM2G031568","60"
"GRMZM2G089491","49"
"GRMZM5G854880","55"
"GRMZM2G394237","44"
"GRMZM2G012498","16"
"GRMZM2G082180","88"
"GRMZM2G037335","74"
"GRMZM2G177866","77"
"GRMZM2G075502","34"
"GRMZM2G131907","58"
"GRMZM2G088919","94"
"GRMZM2G170727","21"
"GRMZM2G174621","46"
"GRMZM2G052111","7"
"GRMZM2G310362","96"
"GRMZM2G472945","61"
"GRMZM2G047720","90"
"GRMZM2G072850","4"
"GRMZM2G147145","52"
"GRMZM2G362281","87"
"GRMZM2G167492","27"
"GRMZM2G028129","12"
"GRMZM2G028252","11"
"GRMZM2G035592","68"
"GRMZM2G017678","15"
"GRMZM2G107609","62"
"GRMZM2G088834","97"
"GRMZM5G881088","20"
"GRMZM2G174236","47"
"GRMZM2G108919","59"
"GRMZM2G174949","22"
"GRMZM2G151706","85"
"GRMZM2G036409","75"
"GRMZM2G010353","72"
"GRMZM2G438438","56"
"GRMZM2G301208","45"
"GRMZM2G042516","8"
"GRMZM2G089565","37"
"GRMZM2G172794","39"
"AC208559.3_FG003","17"
"GRMZM2G301885","32"
"GRMZM2G166099","99"
"GRMZM2G151107","29"
"GRMZM2G175258","92"
"GRMZM5G838420","63"
"GRMZM2G021514","13"
