h_rule,h_no,t_rule,t_no,reference
GRMZM2G701389,sum,GRMZM5G864903,sum,0.198653198653199
GRMZM2G513713,sum,GRMZM5G856837,sum,0.188552188552189
GRMZM2G477340,sum,GRMZM5G864903,sum,0.168350168350168
GRMZM2G477340,sum,GRMZM2G701389,sum,0.171717171717172
GRMZM2G477340,sum,GRMZM2G513713,sum,0.175084175084175
GRMZM2G459432,sum,GRMZM2G477340,sum,0.168350168350168
GRMZM2G438438,sum,GRMZM2G513713,sum,0.168350168350168
GRMZM2G419267,sum,GRMZM5G856837,sum,0.168350168350168
GRMZM2G419267,sum,GRMZM2G569903,sum,0.168350168350168
GRMZM2G394237,sum,GRMZM5G864903,sum,0.185185185185185
GRMZM2G394237,sum,GRMZM5G838420,sum,0.171717171717172
GRMZM2G377904,sum,GRMZM5G871419,sum,0.171717171717172
GRMZM2G377904,sum,GRMZM5G856837,sum,0.188552188552189
GRMZM2G375675,sum,GRMZM5G871419,sum,0.205387205387205
GRMZM2G375675,sum,GRMZM2G419267,sum,0.168350168350168
GRMZM2G362281,sum,GRMZM5G864903,sum,0.178451178451178
GRMZM2G340807,sum,GRMZM2G513713,sum,0.171717171717172
GRMZM2G340807,sum,GRMZM2G377904,sum,0.188552188552189
GRMZM2G331833,sum,GRMZM5G838420,sum,0.178451178451178
GRMZM2G331833,sum,GRMZM2G377904,sum,0.168350168350168
GRMZM2G327199,sum,GRMZM5G864903,sum,0.185185185185185
GRMZM2G327199,sum,GRMZM2G513713,sum,0.181818181818182
GRMZM2G327199,sum,GRMZM2G377904,sum,0.181818181818182
GRMZM2G327199,sum,GRMZM2G340807,sum,0.185185185185185
GRMZM2G320298,sum,GRMZM2G327199,sum,0.171717171717172
GRMZM2G314546,sum,GRMZM5G871419,sum,0.188552188552189
GRMZM2G314546,sum,GRMZM2G459432,sum,0.178451178451178
GRMZM2G314546,sum,GRMZM2G320298,sum,0.175084175084175
GRMZM2G310362,sum,GRMZM2G327199,sum,0.171717171717172
GRMZM2G301885,sum,GRMZM5G854880,sum,0.164983164983165
GRMZM2G301885,sum,GRMZM2G375675,sum,0.175084175084175
GRMZM2G301885,sum,GRMZM2G340807,sum,0.175084175084175
GRMZM2G301208,sum,GRMZM5G871419,sum,0.171717171717172
GRMZM2G301208,sum,GRMZM5G856837,sum,0.178451178451178
GRMZM2G301208,sum,GRMZM2G314546,sum,0.175084175084175
GRMZM2G177866,sum,GRMZM2G327199,sum,0.171717171717172
GRMZM2G177169,sum,GRMZM5G881088,sum,0.178451178451178
GRMZM2G175258,sum,GRMZM5G864903,sum,0.181818181818182
GRMZM2G175258,sum,GRMZM2G472945,sum,0.175084175084175
GRMZM2G174949,sum,GRMZM5G871419,sum,0.181818181818182
GRMZM2G174949,sum,GRMZM2G419267,sum,0.181818181818182
GRMZM2G174949,sum,GRMZM2G314546,sum,0.198653198653199
GRMZM2G174860,sum,GRMZM5G864903,sum,0.168350168350168
GRMZM2G174860,sum,GRMZM2G177866,sum,0.168350168350168
GRMZM2G174860,sum,GRMZM2G175258,sum,0.168350168350168
GRMZM2G174621,sum,GRMZM5G856837,sum,0.175084175084175
GRMZM2G174621,sum,GRMZM2G340807,sum,0.178451178451178
GRMZM2G174621,sum,GRMZM2G320298,sum,0.175084175084175
GRMZM2G174621,sum,GRMZM2G314546,sum,0.175084175084175
GRMZM2G174621,sum,GRMZM2G301885,sum,0.191919191919192
GRMZM2G174236,sum,GRMZM5G871419,sum,0.195286195286195
GRMZM2G174236,sum,GRMZM5G838420,sum,0.181818181818182
GRMZM2G174236,sum,GRMZM2G513713,sum,0.181818181818182
GRMZM2G174236,sum,GRMZM2G477340,sum,0.168350168350168
GRMZM2G174236,sum,GRMZM2G472945,sum,0.181818181818182
GRMZM2G174236,sum,GRMZM2G419267,sum,0.168350168350168
GRMZM2G174236,sum,GRMZM2G177866,sum,0.171717171717172
GRMZM2G172794,sum,GRMZM2G477340,sum,0.175084175084175
GRMZM2G172794,sum,GRMZM2G459432,sum,0.175084175084175
GRMZM2G172794,sum,GRMZM2G174949,sum,0.175084175084175
GRMZM2G172794,sum,GRMZM2G174621,sum,0.181818181818182
GRMZM2G170742,sum,GRMZM5G864903,sum,0.205387205387205
GRMZM2G170742,sum,GRMZM2G701389,sum,0.202020202020202
GRMZM2G170742,sum,GRMZM2G394237,sum,0.171717171717172
GRMZM2G170742,sum,GRMZM2G174860,sum,0.164983164983165
GRMZM2G170727,sum,GRMZM5G838420,sum,0.181818181818182
GRMZM2G170727,sum,GRMZM2G513713,sum,0.175084175084175
GRMZM2G170727,sum,GRMZM2G419267,sum,0.181818181818182
GRMZM2G170727,sum,GRMZM2G340807,sum,0.171717171717172
GRMZM2G170727,sum,GRMZM2G177866,sum,0.178451178451178
GRMZM2G170727,sum,GRMZM2G174621,sum,0.175084175084175
GRMZM2G170351,sum,GRMZM2G477340,sum,0.175084175084175
GRMZM2G170351,sum,GRMZM2G459432,sum,0.178451178451178
GRMZM2G170351,sum,GRMZM2G320298,sum,0.175084175084175
GRMZM2G170351,sum,GRMZM2G314546,sum,0.175084175084175
GRMZM2G170351,sum,GRMZM2G174236,sum,0.178451178451178
GRMZM2G167492,sum,GRMZM5G864903,sum,0.185185185185185
GRMZM2G167492,sum,GRMZM5G856837,sum,0.185185185185185
GRMZM2G167492,sum,GRMZM5G854880,sum,0.164983164983165
GRMZM2G167492,sum,GRMZM2G472945,sum,0.171717171717172
GRMZM2G167492,sum,GRMZM2G460861,sum,0.164983164983165
GRMZM2G167492,sum,GRMZM2G327199,sum,0.198653198653199
GRMZM2G167492,sum,GRMZM2G177866,sum,0.164983164983165
GRMZM2G166099,sum,GRMZM5G881088,sum,0.171717171717172
GRMZM2G166099,sum,GRMZM5G864903,sum,0.198653198653199
GRMZM2G166099,sum,GRMZM2G701389,sum,0.185185185185185
GRMZM2G166099,sum,GRMZM2G174621,sum,0.178451178451178
GRMZM2G157481,sum,GRMZM2G331833,sum,0.168350168350168
GRMZM2G157481,sum,GRMZM2G170727,sum,0.171717171717172
GRMZM2G157481,sum,GRMZM2G167492,sum,0.171717171717172
GRMZM2G154460,sum,GRMZM5G856837,sum,0.195286195286195
GRMZM2G154460,sum,GRMZM5G838420,sum,0.185185185185185
GRMZM2G154460,sum,GRMZM2G459432,sum,0.181818181818182
GRMZM2G154460,sum,GRMZM2G438438,sum,0.175084175084175
GRMZM2G154460,sum,GRMZM2G375675,sum,0.191919191919192
GRMZM2G154460,sum,GRMZM2G314546,sum,0.178451178451178
GRMZM2G154460,sum,GRMZM2G301208,sum,0.168350168350168
GRMZM2G154078,sum,GRMZM5G856837,sum,0.171717171717172
GRMZM2G154078,sum,GRMZM2G701389,sum,0.168350168350168
GRMZM2G154078,sum,GRMZM2G377904,sum,0.178451178451178
GRMZM2G154078,sum,GRMZM2G340807,sum,0.181818181818182
GRMZM2G152447,sum,GRMZM2G513713,sum,0.181818181818182
GRMZM2G152447,sum,GRMZM2G459432,sum,0.178451178451178
GRMZM2G151706,sum,GRMZM5G871419,sum,0.178451178451178
GRMZM2G151706,sum,GRMZM2G513713,sum,0.175084175084175
GRMZM2G151706,sum,GRMZM2G310362,sum,0.178451178451178
GRMZM2G151706,sum,GRMZM2G301208,sum,0.178451178451178
GRMZM2G151706,sum,GRMZM2G172794,sum,0.168350168350168
GRMZM2G151706,sum,GRMZM2G170727,sum,0.168350168350168
GRMZM2G151706,sum,GRMZM2G170351,sum,0.168350168350168
GRMZM2G149442,sum,GRMZM2G170727,sum,0.168350168350168
GRMZM2G149230,sum,GRMZM2G429899,sum,0.181818181818182
GRMZM2G149230,sum,GRMZM2G154460,sum,0.175084175084175
GRMZM2G149230,sum,GRMZM2G149442,sum,0.178451178451178
GRMZM2G147145,sum,GRMZM2G701389,sum,0.175084175084175
GRMZM2G147145,sum,GRMZM2G569903,sum,0.185185185185185
GRMZM2G147145,sum,GRMZM2G429899,sum,0.168350168350168
GRMZM2G147145,sum,GRMZM2G167492,sum,0.185185185185185
GRMZM2G147145,sum,GRMZM2G149230,sum,0.188552188552189
GRMZM2G142776,sum,GRMZM5G881088,sum,0.188552188552189
GRMZM2G142776,sum,GRMZM2G429899,sum,0.164983164983165
GRMZM2G142776,sum,GRMZM2G320298,sum,0.171717171717172
GRMZM2G142776,sum,GRMZM2G174236,sum,0.185185185185185
GRMZM2G142776,sum,GRMZM2G154460,sum,0.175084175084175
GRMZM2G142776,sum,GRMZM2G151107,sum,0.171717171717172
GRMZM2G137375,sum,GRMZM2G513713,sum,0.171717171717172
GRMZM2G137375,sum,GRMZM2G327199,sum,0.171717171717172
GRMZM2G137375,sum,GRMZM2G174236,sum,0.178451178451178
GRMZM2G137375,sum,GRMZM2G170351,sum,0.171717171717172
GRMZM2G137375,sum,GRMZM2G154078,sum,0.171717171717172
GRMZM2G135314,sum,GRMZM5G881088,sum,0.175084175084175
GRMZM2G135314,sum,GRMZM2G170727,sum,0.171717171717172
GRMZM2G131907,sum,GRMZM2G301885,sum,0.178451178451178
GRMZM2G131907,sum,GRMZM2G301208,sum,0.168350168350168
GRMZM2G131907,sum,GRMZM2G174236,sum,0.185185185185185
GRMZM2G128214,sum,GRMZM2G419267,sum,0.171717171717172
GRMZM2G128214,sum,GRMZM2G375675,sum,0.185185185185185
GRMZM2G128214,sum,GRMZM2G314546,sum,0.171717171717172
GRMZM2G128214,sum,GRMZM2G152447,sum,0.188552188552189
GRMZM2G126812,sum,GRMZM2G331833,sum,0.168350168350168
GRMZM2G126812,sum,GRMZM2G174236,sum,0.158249158249158
GRMZM2G120069,sum,GRMZM2G174949,sum,0.181818181818182
GRMZM2G120069,sum,GRMZM2G126812,sum,0.158249158249158
GRMZM2G116881,sum,GRMZM2G472945,sum,0.171717171717172
GRMZM2G116881,sum,GRMZM2G177169,sum,0.175084175084175
GRMZM2G116881,sum,GRMZM2G170727,sum,0.171717171717172
GRMZM2G116881,sum,GRMZM2G137375,sum,0.178451178451178
GRMZM2G109959,sum,GRMZM5G854880,sum,0.164983164983165
GRMZM2G109959,sum,GRMZM2G377904,sum,0.168350168350168
GRMZM2G109959,sum,GRMZM2G301208,sum,0.168350168350168
GRMZM2G109547,sum,GRMZM5G871419,sum,0.168350168350168
GRMZM2G109547,sum,GRMZM5G856837,sum,0.171717171717172
GRMZM2G109547,sum,GRMZM2G340807,sum,0.168350168350168
GRMZM2G109547,sum,GRMZM2G331833,sum,0.175084175084175
GRMZM2G109547,sum,GRMZM2G327199,sum,0.175084175084175
GRMZM2G108919,sum,GRMZM2G320298,sum,0.175084175084175
GRMZM2G108919,sum,GRMZM2G170727,sum,0.185185185185185
GRMZM2G108919,sum,GRMZM2G170351,sum,0.185185185185185
GRMZM2G108919,sum,GRMZM2G167492,sum,0.181818181818182
GRMZM2G108919,sum,GRMZM2G157481,sum,0.185185185185185
GRMZM2G108919,sum,GRMZM2G126812,sum,0.164983164983165
GRMZM2G108919,sum,GRMZM2G109547,sum,0.168350168350168
GRMZM2G107609,sum,GRMZM5G871419,sum,0.188552188552189
GRMZM2G107609,sum,GRMZM5G856837,sum,0.195286195286195
GRMZM2G107609,sum,GRMZM2G477340,sum,0.175084175084175
GRMZM2G107609,sum,GRMZM2G419267,sum,0.191919191919192
